,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
11741,RIDENOUR Payton,United States of America,Cycling BMX Racing,,,,,24,24,48,United States of America,39.0,41.0,33.0,113.0,1.0
11742,RIDGE Amy,Australia,Water Polo,FATOVIC Elvis,Australia,Water Polo,Men,122,146,268,Australia,17.0,7.0,22.0,46.0,6.0
11743,RIDGE Amy,Australia,Water Polo,MIHAILOVIC Predrag,Australia,Water Polo,Women,122,146,268,Australia,17.0,7.0,22.0,46.0,6.0
11744,RIEDEMANN Laura,Germany,Swimming,,,,,361,418,779,Germany,10.0,11.0,16.0,37.0,8.0
11745,RIEDER Celine,Germany,Swimming,,,,,361,418,779,Germany,10.0,11.0,16.0,37.0,8.0
11746,RIENDEAU Vincent,Canada,Diving,,,,,72,71,143,Canada,7.0,6.0,11.0,24.0,11.0
11747,RIERA ZUZUARREGUI Lola,Spain,Hockey,LOCK Adrian Mayner,Spain,Hockey,Women,192,192,384,Spain,3.0,8.0,6.0,17.0,17.0
11748,RIERA ZUZUARREGUI Lola,Spain,Hockey,SOYEZ Frederic,Spain,Hockey,Men,192,192,384,Spain,3.0,8.0,6.0,17.0,17.0
11749,RIGNEY Tara,Australia,Rowing,,,,,257,265,522,Australia,17.0,7.0,22.0,46.0,6.0
11750,RII Riilio,Vanuatu,Rowing,,,,,257,265,522,,,,,,
11751,RILEY Ali,New Zealand,Football,HAY Danny,New Zealand,Football,Men,264,344,608,New Zealand,7.0,6.0,7.0,20.0,13.0
11752,RILEY Ali,New Zealand,Football,SERMANNI Tom,New Zealand,Football,Women,264,344,608,New Zealand,7.0,6.0,7.0,20.0,13.0
11753,RILEY Jacob,United States of America,Athletics,,,,,969,1072,2041,United States of America,39.0,41.0,33.0,113.0,1.0
11754,RINDOM Anne-Marie,Denmark,Sailing,,,,,175,175,350,Denmark,3.0,4.0,4.0,11.0,23.0
11755,RINER Teddy,France,Judo,,,,,192,201,393,France,10.0,12.0,11.0,33.0,10.0
11756,RINGER Richard,Germany,Athletics,,,,,969,1072,2041,Germany,10.0,11.0,16.0,37.0,8.0
11757,RISELEY Jeffrey,Australia,Athletics,,,,,969,1072,2041,Australia,17.0,7.0,22.0,46.0,6.0
11758,RISHONY Shira,Israel,Judo,,,,,192,201,393,Israel,2.0,0.0,2.0,4.0,47.0
11759,RISKE Alison,United States of America,Tennis,,,,,94,97,191,United States of America,39.0,41.0,33.0,113.0,1.0
11760,RISSVEDS Jenny,Sweden,Cycling Mountain Bike,,,,,38,38,76,Sweden,3.0,6.0,0.0,9.0,26.0
11761,RITSEMA Nelson,Netherlands,Rowing,,,,,257,265,522,Netherlands,10.0,12.0,14.0,36.0,9.0
11762,RITTER Saulius,Lithuania,Rowing,,,,,257,265,522,Lithuania,0.0,1.0,0.0,1.0,77.0
